LJ001-0001|Muzyka płynęła ciągle.|Muzyka płynęła ciągle.
LJ001-0002|Starszy poszturchiwał go ciągle i szeptał coś groźnym głosem, krzywiąc się przytem szkaradnie.|Starszy poszturchiwał go ciągle i szeptał coś groźnym głosem, krzywiąc się przytem szkaradnie.
LJ001-0003|Wspinałem się powoli z gałęzi na gałąź, aż wreszcie doszedłem prawie do wierzchołka.|Wspinałem się powoli z gałęzi na gałąź, aż wreszcie doszedłem prawie do wierzchołka.
LJ001-0004|Pańskie piekielne sztuczki zawiodły tym razem.|Pańskie piekielne sztuczki zawiodły tym razem.
LJ001-0005|Kilka minut temu wstecz sarkofag ten był próżny, na co medyk mógł przysiąc.|Kilka minut temu wstecz sarkofag ten był próżny, na co medyk mógł przysiąc.
LJ001-0006|Byłem zatem więźniem w tym domu.|Byłem zatem więźniem w tym domu.
LJ001-0007|Do grobu nie zapomnę tej straszliwej chwili.|Do grobu nie zapomnę tej straszliwej chwili.
LJ001-0008|Słyszałem tylko, że go się spodziewają.|Słyszałem tylko, że go się spodziewają.
LJ001-0009|Mówił jeszcze, kiedy zaszło znów coś niezwykłego.|Mówił jeszcze, kiedy zaszło znów coś niezwykłego.
LJ001-0010|Wyobraź ją sobie zmywaną deszczem, paloną słońcem, smaganą wiatrem przez te długie wieki.|Wyobraź ją sobie zmywaną deszczem, paloną słońcem, smaganą wiatrem przez te długie wieki.
LJ001-0011|W naszym spisie znajdują się przed nim jeszcze dwa nazwiska.|W naszym spisie znajdują się przed nim jeszcze dwa nazwiska.
LJ001-0012|Z gościńca skręcił na samotną, mało uczęszczaną ścieżkę, wiodącą do domu jego przyjaciela.|Z gościńca skręcił na samotną, mało uczęszczaną ścieżkę, wiodącą do domu jego przyjaciela.
LJ001-0013|Spojrzeli po sobie zdumieni.|Spojrzeli po sobie zdumieni.
LJ001-0014|Nawet pod pierwszem wrażeniem nic nie widział.|Nawet pod pierwszem wrażeniem nic nie widział.
LJ001-0015|Wyprostował się dumnie, złożył ukłon i rękę zabawnym ruchem przycisnął do serca.|Wyprostował się dumnie, złożył ukłon i rękę zabawnym ruchem przycisnął do serca.
LJ001-0016|Dziwię się, że panu to nie przeszkadza.|Dziwię się, że panu to nie przeszkadza.
LJ001-0017|Wie o tem każdy mężczyzna i każda kobieta w tej dolinie.|Wie o tem każdy mężczyzna i każda kobieta w tej dolinie.
LJ001-0018|Czy sprowadzi ją powrót trucizny?|Czy sprowadzi ją powrót trucizny?
LJ001-0019|Potem dał się słyszeć plusk wioseł i wrzask.|Potem dał się słyszeć plusk wioseł i wrzask.
LJ001-0020|Była to długa jazda z Berlina do Pirenejów.|Była to długa jazda z Berlina do Pirenejów.
